"A. Socialdemokratiet";"Middelfart";6362;6622;7260
"A. Socialdemokratiet";"Nordfyns";4852;5169;5464
"A. Socialdemokratiet";"Nyborg";5789;6386;6868
"A. Socialdemokratiet";"Odense";33157;35280;35434
"A. Socialdemokratiet";"Svendborg";9809;10482;9964
"A. Socialdemokratiet";"Ærø";1176;1113;965
"A. Socialdemokratiet";"Billund";3013;3346;3172
"A. Socialdemokratiet";"Esbjerg";19645;19588;18399
"A. Socialdemokratiet";"Fanø";515;465;608
"A. Socialdemokratiet";"Fredericia";8234;9753;8755
"A. Socialdemokratiet";"Haderslev";8319;8652;8621
"A. Socialdemokratiet";"Kolding";10607;11855;12660
"A. Socialdemokratiet";"Sønderborg";12353;13017;11728
"A. Socialdemokratiet";"Tønder";5443;5967;5038
"A. Socialdemokratiet";"Varde";5765;5985;5907
"A. Socialdemokratiet";"Vejen";5634;6141;5923
"A. Socialdemokratiet";"Vejle";13634;15080;15723
"A. Socialdemokratiet";"Aabenraa";8395;9088;7857
"A. Socialdemokratiet";"Favrskov";7343;7972;8185
"A. Socialdemokratiet";"Hedensted";5756;6250;6399
"A. Socialdemokratiet";"Horsens";13610;13595;13900
"A. Socialdemokratiet";"Norddjurs";7081;7740;7127
"A. Socialdemokratiet";"Odder";3953;3936;4297
"A. Socialdemokratiet";"Randers";19522;21047;19028
"A. Socialdemokratiet";"Samsø";675;611;692
"A. Socialdemokratiet";"Silkeborg";14413;14076;14662
"A. Socialdemokratiet";"Skanderborg";9200;9428;10262
"A. Socialdemokratiet";"Syddjurs";6689;7223;6808
"A. Socialdemokratiet";"Aarhus";53603;53536;55622
"A. Socialdemokratiet";"Herning";10374;10886;11333
"A. Socialdemokratiet";"Holstebro";8906;8977;10762
"A. Socialdemokratiet";"Ikast-Brande";4943;5463;5403
"A. Socialdemokratiet";"Lemvig";2735;2833;3173
"A. Socialdemokratiet";"Ringkøbing-Skjern";6254;6406;6830
"A. Socialdemokratiet";"Skive";8721;9064;9164
"A. Socialdemokratiet";"Struer";3709;4125;3974
"A. Socialdemokratiet";"Viborg";14609;14378;14821
"A. Socialdemokratiet";"Brønderslev";6793;7184;6692
